time,latitude,longitude,direction,speed
2015-01-01,-6.5,-73.5,129.9363819886972,1.415249868392948
2015-01-01,-6.5,-73,126.48057742650117,1.5594498889923116
2015-01-01,-6.5,-72.5,122.34744317445285,1.5762499886751176
2015-01-01,-6.5,-72,125.33493488007034,1.3490498736619987
2015-01-01,-6.5,-71.5,135.27414014355458,1.0920499102592487
2015-01-01,-6.5,-71,142.275003702899,0.8979999334812181
2015-01-01,-6.5,-70.5,142.85331190724878,0.7712999504327787
2015-01-01,-6.5,-70,144.40078009933674,0.5856499927997589
2015-01-01,-6.5,-69.5,149.03624252626432,0.43519995670318723
2015-01-01,-6.5,-69,153.1380824306385,0.37249997973442106
2015-01-01,-6.5,-68.5,155.96571319307014,0.32825000154972095
2015-01-01,-6.5,-68,163.95099483754754,0.2884999690353879
2015-01-01,-6.5,-67.5,173.94580777639248,0.22024997799098547
2015-01-01,-6.5,-67,171.2538376140671,0.13839998993873615
2015-01-01,-6.5,-66.5,-178.8308606498774,0.12009999006763121
2015-01-01,-6.5,-66,-160.55996576289786,0.2600000035762787
2015-01-01,-6.5,-65.5,-158.09129399096562,0.4916499622821817
2015-01-01,-6.5,-65,171.2025893372767,0.36124997735023534
2015-01-01,-6.5,-64.5,110.05609401529044,0.8995999781131747
2015-01-01,-6.5,-64,112.26658783810677,0.9416499658584598
2015-01-01,-6.5,-63.5,-174.09385884856303,0.16999999023973955
2015-01-01,-6.5,-63,-141.78897414492718,0.17890000120401384
2015-01-01,-6.5,-62.5,-145.4077121380569,0.24819998078346295
2015-01-01,-6.5,-62,-150.52411181220188,0.31409999277591716
2015-01-01,-6.5,-61.5,-157.75097709833955,0.4519999902248384
2015-01-01,-6,-84,-37.33713165494106,17.32364895830156
2015-01-01,-6,-83.5,-39.95320524741972,14.938100206279756
2015-01-01,-6,-83,-37.52574979365523,11.967399575805672
2015-01-01,-6,-82.5,-35.68156497776901,10.71380009288788
2015-01-01,-6,-82,-28.58049399992103,10.478250048637392
2015-01-01,-6,-81.5,-16.0693745146347,9.872899942016602
2015-01-01,-6,-81,-18.04636179635804,8.805049976062776
2015-01-01,-6,-80.5,-6.7685934023724235,7.951249206364174
2015-01-01,-6,-80,36.319582099998776,7.024400005912781
2015-01-01,-6,-79.5,-113.02161532959153,5.782899510478984
2015-01-01,-6,-79,-116.86000726783557,6.037449599552161
2015-01-01,-6,-78.5,33.47096446941374,1.0520498637676283
2015-01-01,-6,-78,-160.49755090066807,0.12964999515414244
2015-01-01,-6,-77.5,140.37099558578487,1.3809999027252218
2015-01-01,-6,-77,116.56505117707799,1.224999958276749
2015-01-01,-6,-76.5,110.75407073974546,0.5160499830961229
2015-01-01,-6,-76,100.9806503034406,0.232899970626832
2015-01-01,-6,-75.5,102.39540655837934,0.43404996724128786
2015-01-01,-6,-75,114.48668012764243,0.6158499804973605
2015-01-01,-6,-74.5,120.32360840251313,0.7539999423027055
2015-01-01,-6,-74,124.7778332626511,0.864449917602542
2015-01-01,-6,-73.5,126.86989764584402,0.8449999380111706
2015-01-01,-6,-73,122.18263107636854,0.9392499316930785
2015-01-01,-6,-72.5,120.89736522262842,1.0952499685287478
2015-01-01,-6,-72,127.20792363044329,0.919399911737445
2015-01-01,-6,-71.5,132.05595440630248,0.7676499466657649
2015-01-01,-6,-71,130.3836481158837,0.6522500112056733
2015-01-01,-6,-70.5,127.199812461794,0.5428999831438066
2015-01-01,-6,-70,130.04972705116538,0.40624998867511763
2015-01-01,-6,-69.5,135.0,0.291599958801271
